NCO|documentStart|2020-12-03|10:55:12|user01|End
NCO|documentCheck|principleID|NDI|End
NCO|documentCheck|distributorID|B0006|End
NCO|documentCheck|distributorName|PT. BERKAH RAYA|End
NCO|documentCheck|branchName|TANGERANG|End
NCO|documentCheck|fromDate|2020-07-19|End
NCO|documentCheck|thruDate|2020-07-22|End
NCO|documentCheck|version|A01.30.00|End
NCO|documentCheck|productmasterversion||End
NCO|documentCheck|gromartMerchantID||End
NCO|documentCheck|companyID|NS6083010001517|End
NCO|documentCheck|branchID|1522203109974|End
NCO|documentCheck|nd6closeddate|2020-07-21|End
NCO|distributorproduct|attribute|productCode|principalProductCode|productName|productPackaging|uom1|uom2|uom3|uom4|conversion1to4|conversion2to4|conversion3to4|productStatus|buyingPrice|sellingPrice|nexchiefRatio|divisonID|vendorID|End
NCO|distributorproduct|value|MXD117|MXD117|Apillo Duo Vanilla|12 x 10 x 20|krt|bag|pcs|PCS|120|10|1|A|38487.0|43636.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1018|MXD1018|Apillo Orange|6x56x12Gr|krt|jar|pcs|PCS|336|56|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10188|MXD10188|Apillo Orange|6 x 64 x 8|krt|jar|pcs|PCS|384|64|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD119|MXD119|APILLO PEANUT|6x56x12Gr|krt|TPL|pcs|PCS|360|60|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1015|MXD1015|Apillo Peanut|6x56x12Gr|krt|jar|pcs|PCS|336|56|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10155|MXD10155|Apillo Peanut|6 x 64 x 8|krt|jar|pcs|PCS|384|64|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD10122|MXD10122|Apillo Stawbery|6 x 64 x 8|krt|jar|pcs|PCS|384|64|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD102|WF-STW-6T|Apillo Strawberry|6 x 56 x 12Gr|krt|jar|pcs|PCS|360|60|1|A|84190.0|95455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD105|MXD105|Apillo Strawberry Mini|6 x 30 x 12|krt|JAR|pcs|PCS|180|30|1|A|48911.0|55455.0|1.0|1522217674091|001|End
NCO|distributorproduct|value|MXD1012|MXD1012|Apillo Strawbery|6 x 56 x 12|krt|jar|pcs|PCS|336|56|1|A|94294.0|106909.09|1.0|1522217674091|001|End
